,image_name,gender,Eyes,Nose,Lips,Eyebrows,HairFront,HairBack,HaironShoulder,Eyewear,FaceShape
72,WFTIjJ3KYvWGwMWJ.png,male,MaleEyesSmallEye2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontSailesh_Medium,,,None,MaleFaceShapeTriangle1
73,WEpHETELxr6Qk-nC.png,male,MaleEyesSmallEye2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontPriyansh_Medium,,,None,MaleFaceShapeThinRect
74,WFak02SBJ73lb15D.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontPriyansh_Medium,,,None,MaleFaceShapeDiamond
75,WFU2SZ3KYvV3kvfz.png,male,MaleEyesFlat_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontDeepak_Medium,,,MaleEyewearStudyFrame,MaleFaceShapeOval
76,WEY3W3Z3SkSaBFza.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontAmar_Medium,,,None,MaleFaceShapeOval
77,WF62gbEWphy1C355.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontPratyushMehta_Medium,,,None,MaleFaceShapeChubbyRect
78,WEKxuI0jkIodsp6f.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontAyushTarvecha_Medium,,,None,MaleFaceShapeTriangle2
79,WFQnsDKsL95OhjbZ.png,male,MaleEyesFlat_Patch,MaleNoseWide,MaleLipsThinSmile_Thin,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontAmar_Medium,,,None,MaleFaceShapeTriangle2
80,WFSfCo0jkD4hwfol.png,male,MaleEyesFlat_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontRohitPathak_Short,,,None,MaleFaceShapeOblong
81,WEOMLbwsRFh_9AhX.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontTarun_Medium,,,MaleEyewearWDark,MaleFaceShapeOval
82,WFBWCGxSUNacQmPR.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontBiswajeet_Medium,,,None,MaleFaceShapeOblong
83,WELrbrEWpmSrGVUh.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontRahulSharma_Medium,,,None,MaleFaceShapeOval
84,WF-C9zKsL-6eMPPE.png,male,MaleEyesSmallEye2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontDarshil_Medium,,,None,MaleFaceShapeOblong
85,WEZ3eTELxv--36-2.png,male,MaleEyesFlat_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontTarun_Medium,,,MaleEyewearCasualFrame,MaleFaceShapeOval
86,WEWECI0jkIokWCPd.png,male,MaleEyesSmallEye2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontHarsha_Medium,,,None,MaleFaceShapeOblong
87,WEvWQnZ3ShAwULwk.png,male,MaleEyesFlat_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontGopik_Short,,,None,MaleFaceShapeTriangle2
88,WFK5EmxSUNagyAb5.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsStraight_Thin,MaleHairFrontNishkarshModi_Medium,,,MaleEyewearAviator3,MaleFaceShapeThinRect2
89,WEGy_GxSUDCoioNA.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontKhaleel_Medium,,,MaleEyewearAviator7,MaleFaceShapeOblong
90,WEmCWWxSUAYwlJaj.png,male,MaleEyesSmallEye2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontSujeet_Short,,,None,MaleFaceShapeTriangle2
91,WFKfxLEWpiPwnKq6.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontHarsha_Medium,,,MaleEyewearFlatTopVision,MaleFaceShapeDiamond
92,WFa_jY0jkHNh7--o.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontJatin_Short,,,None,MaleFaceShapeOval
93,WEd8arEWpnJAmuWM.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairCurl_Medium,,,MaleEyewearStudyFrame,MaleFaceShapeThinRect2
94,WFVNUdFH7Dq7Jb0j.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontGenericParted_Medium,,,None,MaleFaceShapeDiamondLong
